team names,t1 bat,t1 bowl,t2 bat,t2 bowl
DD,Q de Kock,Z Khan,RV Uthappa,AD Russell
KKR,SS Iyer,CH Morris,G Gambhir,JW Hastings
,SV Samson,Mohammed Shami,MK Pandey,GB Hogg
,KK Nair,P Negi,AD Russell,PP Chawla
,JP Duminy,A Mishra,YK Pathan,Kuldeep Yadav
,CR Brathwaite,CR Brathwaite,C Munro,
,CH Morris,,SA Yadav,
,P Negi,,PP Chawla,
,Z Khan,,JW Hastings,
,A Mishra,,Kuldeep Yadav,
,Mohammed Shami,,GB Hogg,
