team names,t1 bat,t1 bowl,t2 bat,t2 bowl
GL,ER Dwivedi,P Kumar,DA Warner,B Kumar
SRH,BB McCullum,DS Kulkarni,S Dhawan,TA Boult
,SK Raina,DR Smith,MC Henriques,BB Sran
,KD Karthik,SK Raina,Yuvraj Singh,Bipul Sharma
,AJ Finch,S Kaushik,DJ Hooda,BCJ Cutting
,DR Smith,DJ Bravo,BCJ Cutting,MC Henriques
,RA Jadeja,,NV Ojha,
,DJ Bravo,,Bipul Sharma,
,DS Kulkarni,,TA Boult,
,P Kumar,,BB Sran,
,S Kaushik,,B Kumar,
