team names,t1 bat,t1 bowl,t2 bat,t2 bowl
SRH,DA Warner,B Kumar,RV Uthappa,AD Russell
KKR,S Dhawan,TA Boult,G Gambhir,JW Hastings
,MC Henriques,BB Sran,MK Pandey,GB Hogg
,Yuvraj Singh,Bipul Sharma,AD Russell,PP Chawla
,DJ Hooda,BCJ Cutting,YK Pathan,Kuldeep Yadav
,BCJ Cutting,MC Henriques,C Munro,
,NV Ojha,,SA Yadav,
,Bipul Sharma,,PP Chawla,
,TA Boult,,JW Hastings,
,BB Sran,,Kuldeep Yadav,
,B Kumar,,GB Hogg,
