team names,t1 bat,t1 bowl,t2 bat,t2 bowl
RCB,CH Gayle,S Aravind,RG Sharma,TG Southee
MI,V Kohli,Parvez Rasool,PA Patel,JJ Bumrah
,AB de Villiers,SR Watson,KH Pandya,MJ McClenaghan
,SR Watson,YS Chahal,MJ McClenaghan,KH Pandya
,SN Khan,D Wiese,JC Buttler,Harbhajan Singh
,KM Jadhav,HV Patel,KA Pollard,J Suchith
,D Wiese,,AT Rayudu,
,Parvez Rasool,,Harbhajan Singh,
,HV Patel,,J Suchith,
,YS Chahal,,TG Southee,
,S Aravind,,JJ Bumrah,
