team names,t1 bat,t1 bowl,t2 bat,t2 bowl
RPS,DA Warner,B Kumar,AM Rahane,I Sharma
SRH,S Dhawan,TA Boult,F du Plessis,Ankit Sharma
,MC Henriques,BB Sran,KP Pietersen,R Ashwin
,Yuvraj Singh,Bipul Sharma,NLTC Perera,M Ashwin
,DJ Hooda,BCJ Cutting,SPD Smith,IK Pathan
,BCJ Cutting,MC Henriques,MS Dhoni,NLTC Perera
,NV Ojha,,IK Pathan,
,Bipul Sharma,,R Ashwin,
,TA Boult,,I Sharma,
,BB Sran,,Ankit Sharma,
,B Kumar,,M Ashwin,
