team names,t1 bat,t1 bowl,t2 bat,t2 bowl
MI,RG Sharma,TG Southee,ER Dwivedi,P Kumar
GL,PA Patel,JJ Bumrah,BB McCullum,DS Kulkarni
,KH Pandya,MJ McClenaghan,SK Raina,DR Smith
,MJ McClenaghan,KH Pandya,KD Karthik,SK Raina
,JC Buttler,Harbhajan Singh,AJ Finch,S Kaushik
,KA Pollard,J Suchith,DR Smith,DJ Bravo
,AT Rayudu,,RA Jadeja,
,Harbhajan Singh,,DJ Bravo,
,J Suchith,,DS Kulkarni,
,TG Southee,,P Kumar,
,JJ Bumrah,,S Kaushik,
