team names,t1 bat,t1 bowl,t2 bat,t2 bowl
RPS,AM Rahane,I Sharma,M Vijay,Sandeep Sharma
KXIP,F du Plessis,Ankit Sharma,M Vohra,KJ Abbott
,KP Pietersen,R Ashwin,SE Marsh,AR Patel
,NLTC Perera,M Ashwin,DA Miller,P Sahu
,SPD Smith,IK Pathan,GJ Maxwell,MM Sharma
,MS Dhoni,NLTC Perera,WP Saha,GJ Maxwell
,IK Pathan,,AR Patel,
,R Ashwin,,MM Sharma,
,I Sharma,,KJ Abbott,
,Ankit Sharma,,P Sahu,
,M Ashwin,,Sandeep Sharma,
