team names,t1 bat,t1 bowl,t2 bat,t2 bowl
GL,ER Dwivedi,P Kumar,RG Sharma,TG Southee
MI,BB McCullum,DS Kulkarni,PA Patel,JJ Bumrah
,SK Raina,DR Smith,KH Pandya,MJ McClenaghan
,KD Karthik,SK Raina,MJ McClenaghan,KH Pandya
,AJ Finch,S Kaushik,JC Buttler,Harbhajan Singh
,DR Smith,DJ Bravo,KA Pollard,J Suchith
,RA Jadeja,,AT Rayudu,
,DJ Bravo,,Harbhajan Singh,
,DS Kulkarni,,J Suchith,
,P Kumar,,TG Southee,
,S Kaushik,,JJ Bumrah,
