team names,t1 bat,t1 bowl,t2 bat,t2 bowl
KKR,RV Uthappa,AD Russell,AM Rahane,I Sharma
RPS,G Gambhir,JW Hastings,F du Plessis,Ankit Sharma
,MK Pandey,GB Hogg,KP Pietersen,R Ashwin
,AD Russell,PP Chawla,NLTC Perera,M Ashwin
,YK Pathan,Kuldeep Yadav,SPD Smith,IK Pathan
,C Munro,,MS Dhoni,NLTC Perera
,SA Yadav,,IK Pathan,
,PP Chawla,,R Ashwin,
,JW Hastings,,I Sharma,
,Kuldeep Yadav,,Ankit Sharma,
,GB Hogg,,M Ashwin,
