team names,t1 bat,t1 bowl,t2 bat,t2 bowl
KXIP,M Vijay,Sandeep Sharma,Q de Kock,Z Khan
DD,M Vohra,KJ Abbott,SS Iyer,CH Morris
,SE Marsh,AR Patel,SV Samson,Mohammed Shami
,DA Miller,P Sahu,KK Nair,P Negi
,GJ Maxwell,MM Sharma,JP Duminy,A Mishra
,WP Saha,GJ Maxwell,CR Brathwaite,CR Brathwaite
,AR Patel,,CH Morris,
,MM Sharma,,P Negi,
,KJ Abbott,,Z Khan,
,P Sahu,,A Mishra,
,Sandeep Sharma,,Mohammed Shami,
