team names,t1 bat,t1 bowl,t2 bat,t2 bowl
DD,Q de Kock,Z Khan,ER Dwivedi,P Kumar
GL,SS Iyer,CH Morris,BB McCullum,DS Kulkarni
,SV Samson,Mohammed Shami,SK Raina,DR Smith
,KK Nair,P Negi,KD Karthik,SK Raina
,JP Duminy,A Mishra,AJ Finch,S Kaushik
,CR Brathwaite,CR Brathwaite,DR Smith,DJ Bravo
,CH Morris,,RA Jadeja,
,P Negi,,DJ Bravo,
,Z Khan,,DS Kulkarni,
,A Mishra,,P Kumar,
,Mohammed Shami,,S Kaushik,
