team names,t1 bat,t1 bowl,t2 bat,t2 bowl
GL,ER Dwivedi,P Kumar,M Vijay,Sandeep Sharma
KXIP,BB McCullum,DS Kulkarni,M Vohra,KJ Abbott
,SK Raina,DR Smith,SE Marsh,AR Patel
,KD Karthik,SK Raina,DA Miller,P Sahu
,AJ Finch,S Kaushik,GJ Maxwell,MM Sharma
,DR Smith,DJ Bravo,WP Saha,GJ Maxwell
,RA Jadeja,,AR Patel,
,DJ Bravo,,MM Sharma,
,DS Kulkarni,,KJ Abbott,
,P Kumar,,P Sahu,
,S Kaushik,,Sandeep Sharma,
