team names,t1 bat,t1 bowl,t2 bat,t2 bowl
SRH,DA Warner,B Kumar,ER Dwivedi,P Kumar
GL,S Dhawan,TA Boult,BB McCullum,DS Kulkarni
,MC Henriques,BB Sran,SK Raina,DR Smith
,Yuvraj Singh,Bipul Sharma,KD Karthik,SK Raina
,DJ Hooda,BCJ Cutting,AJ Finch,S Kaushik
,BCJ Cutting,MC Henriques,DR Smith,DJ Bravo
,NV Ojha,,RA Jadeja,
,Bipul Sharma,,DJ Bravo,
,TA Boult,,DS Kulkarni,
,BB Sran,,P Kumar,
,B Kumar,,S Kaushik,
