team names,t1 bat,t1 bowl,t2 bat,t2 bowl
KXIP,M Vijay,Sandeep Sharma,AM Rahane,I Sharma
RPS,M Vohra,KJ Abbott,F du Plessis,Ankit Sharma
,SE Marsh,AR Patel,KP Pietersen,R Ashwin
,DA Miller,P Sahu,NLTC Perera,M Ashwin
,GJ Maxwell,MM Sharma,SPD Smith,IK Pathan
,WP Saha,GJ Maxwell,MS Dhoni,NLTC Perera
,AR Patel,,IK Pathan,
,MM Sharma,,R Ashwin,
,KJ Abbott,,I Sharma,
,P Sahu,,Ankit Sharma,
,Sandeep Sharma,,M Ashwin,
