team names,t1 bat,t1 bowl,t2 bat,t2 bowl
KXIP,M Vijay,Sandeep Sharma,ER Dwivedi,P Kumar
GL,M Vohra,KJ Abbott,BB McCullum,DS Kulkarni
,SE Marsh,AR Patel,SK Raina,DR Smith
,DA Miller,P Sahu,KD Karthik,SK Raina
,GJ Maxwell,MM Sharma,AJ Finch,S Kaushik
,WP Saha,GJ Maxwell,DR Smith,DJ Bravo
,AR Patel,,RA Jadeja,
,MM Sharma,,DJ Bravo,
,KJ Abbott,,DS Kulkarni,
,P Sahu,,P Kumar,
,Sandeep Sharma,,S Kaushik,
